,country,view_amt
0,United States,810192528
1,Philippines,686723180
2,India,242095747
3,Brazil,224225367
4,Mexico,192018561
5,Indonesia,185611589
6,Thailand,185014090
7,United Kingdom,125517110
8,Canada,105017829
9,Argentina,101151714
10,Malaysia,89661393
11,Australia,69607521
12,Vietnam,67940251
13,Japan,64996350
14,Germany,54562442
15,Turkey,54383937
16,Spain,46126197
17,France,44823843
18,South Korea,44124816
19,Peru,43167592
20,Italy,40639995
21,Taiwan,38169052
22,Chile,37638989
23,Colombia,34118605
24,Poland,31103586
25,Saudi Arabia,29080659
26,South Africa,26218690
27,Nepal,20785845
28,Bangladesh,20744156
29,Ecuador,19732914
30,Singapore,18816767
31,Russia,18741360
32,Myanmar,17519710
33,Cambodia,16320007
34,Romania,15306434
35,Pakistan,15024670
36,Portugal,15018922
37,Hong Kong,14718010
38,Netherlands,14170457
39,Israel,13953579
40,Ireland,13735199
41,United Arab Emirates,13400728
42,Greece,12743304
43,Venezuela,11635357
44,Czechia,11448205
45,Guatemala,10886296
46,Belgium,10651118
47,Ukraine,10158239
48,New Zealand,10141810
49,Bolivia,9500122
50,Hungary,9462907
51,Egypt,9222412
52,Austria,8482654
53,Algeria,8259947
54,Paraguay,8053224
55,Costa Rica,7805554
56,El Salvador,7562503
57,Serbia,7442767
58,Honduras,7295772
59,Sweden,7106290
60,Iraq,7034365
61,Croatia,6996891
62,Switzerland,6469557
63,Morocco,6459844
64,Uruguay,6372816
65,Sri Lanka,5596688
66,Denmark,5514917
67,Dominican Republic,5409067
68,Bulgaria,5027468
69,Tunisia,4588202
70,Slovakia,4512228
71,Trinidad and Tobago,4325953
72,Kuwait,4232172
73,Norway,4132066
74,Slovenia,4107015
75,Georgia,4003827
76,Kenya,3991687
77,Nicaragua,3875868
78,Panama,3862582
79,Finland,3861967
80,Jordan,3750974
81,Jamaica,3211213
82,Qatar,3191299
83,Laos,3094701
84,Kazakhstan,3045633
85,Lebanon,2947711
86,Lithuania,2761199
87,Bosnia and Herzegovina,2604271
88,Mongolia,2421325
89,Puerto Rico,2318624
90,North Macedonia,2178911
91,Nigeria,2145770
92,Albania,2123531
93,Azerbaijan,1895045
94,Mauritius,1841074
95,Latvia,1739452
96,Brunei,1684569
97,Syria,1659789
98,Bahrain,1594503
99,Uzbekistan,1575921
